name,r,g,b,hex
Black,0,0,0,#000000
White,255,255,255,#FFFFFF
Red,255,0,0,#FF0000
Green,0,128,0,#008000
Blue,0,0,255,#0000FF
Yellow,255,255,0,#FFFF00
Cyan,0,255,255,#00FFFF
Magenta,255,0,255,#FF00FF
Orange,255,165,0,#FFA500
Pink,255,192,203,#FFC0CB
Purple,128,0,128,#800080
Brown,165,42,42,#A52A2A
Gray,128,128,128,#808080
LightGray,211,211,211,#D3D3D3
Navy,0,0,128,#000080
Teal,0,128,128,#008080
Olive,128,128,0,#808000
Maroon,128,0,0,#800000
Lime,0,255,0,#00FF00
Gold,255,215,0,#FFD700
